item,itemLabel
http://base.semlab.io/entity/Q155,Johnnie Davis
http://base.semlab.io/entity/Q156,Zoot Sims
http://base.semlab.io/entity/Q157,Charlie Barnet
http://base.semlab.io/entity/Q158,Wardell Gray
http://base.semlab.io/entity/Q159,Johnny Mince
http://base.semlab.io/entity/Q160,Marion Hardy
http://base.semlab.io/entity/Q161,Joe Wilder
http://base.semlab.io/entity/Q162,Ma Rainey
http://base.semlab.io/entity/Q163,Bennie Moten
http://base.semlab.io/entity/Q164,Skitch Henderson
http://base.semlab.io/entity/Q165,Tito Puente
http://base.semlab.io/entity/Q166,Buck Clayton
http://base.semlab.io/entity/Q167,Sam Wooding
http://base.semlab.io/entity/Q168,Monte Carlo
http://base.semlab.io/entity/Q169,Earl Warren
http://base.semlab.io/entity/Q170,Johnny Dunn
http://base.semlab.io/entity/Q171,Bobby Cruz
http://base.semlab.io/entity/Q172,Paul Whiteman
http://base.semlab.io/entity/Q173,Herbert Blue
http://base.semlab.io/entity/Q174,Erroll Garner
http://base.semlab.io/entity/Q175,Morey Feld
http://base.semlab.io/entity/Q176,Hank Jones
http://base.semlab.io/entity/Q177,Chick Webb
http://base.semlab.io/entity/Q178,Cab Calloway
http://base.semlab.io/entity/Q179,Jay McShann
http://base.semlab.io/entity/Q180,Louis Aladdin
http://base.semlab.io/entity/Q181,Freddie Webster
http://base.semlab.io/entity/Q182,Doc Cheatham
http://base.semlab.io/entity/Q183,Jon Faddis
http://base.semlab.io/entity/Q184,Sammy Rimington
http://base.semlab.io/entity/Q185,Ted Lewis
http://base.semlab.io/entity/Q186,Jimmy Cheatham
http://base.semlab.io/entity/Q187,Roy Hargrove
http://base.semlab.io/entity/Q188,Roy Roman
http://base.semlab.io/entity/Q189,Curtis Porter
http://base.semlab.io/entity/Q190,King Oliver
http://base.semlab.io/entity/Q191,Bessie Smith
http://base.semlab.io/entity/Q192,Machito
http://base.semlab.io/entity/Q193,Jackie Gleason
http://base.semlab.io/entity/Q194,Percy Humphrey
http://base.semlab.io/entity/Q195,Willie Humphrey
http://base.semlab.io/entity/Q196,Joyce DeFranco
http://base.semlab.io/entity/Q197,Richie Ray
http://base.semlab.io/entity/Q198,Alice Coltrane
http://base.semlab.io/entity/Q199,Jelly Roll Morton
http://base.semlab.io/entity/Q200,McCoy Tyner
http://base.semlab.io/entity/Q201,Myra Lavin
http://base.semlab.io/entity/Q202,Cal Massey
http://base.semlab.io/entity/Q404,Cozy Cole
http://base.semlab.io/entity/Q405,Tommy Potter
http://base.semlab.io/entity/Q406,Cecil McBee
http://base.semlab.io/entity/Q407,Dave Kikoski
http://base.semlab.io/entity/Q408,Emery Thompson
http://base.semlab.io/entity/Q409,Karl Ludwig
http://base.semlab.io/entity/Q410,Wayne Shorter
http://base.semlab.io/entity/Q411,Jimmy Garrison
http://base.semlab.io/entity/Q412,Harry Carney
http://base.semlab.io/entity/Q413,Kenny Burrell
http://base.semlab.io/entity/Q414,Dave Weckl
http://base.semlab.io/entity/Q415,Tom Brown
http://base.semlab.io/entity/Q416,Lawrence Marable
http://base.semlab.io/entity/Q417,Randy Gilmore
http://base.semlab.io/entity/Q418,Rashied Ali
http://base.semlab.io/entity/Q419,Tain Watts
http://base.semlab.io/entity/Q420,Gloria Lynne
http://base.semlab.io/entity/Q421,Dense Thornton
http://base.semlab.io/entity/Q422,Airto
http://base.semlab.io/entity/Q423,Pat Metheny
http://base.semlab.io/entity/Q424,Sid Catlett
http://base.semlab.io/entity/Q425,Billy Strayhorn
http://base.semlab.io/entity/Q426,George Treadwell
http://base.semlab.io/entity/Q427,Roy Haynes
http://base.semlab.io/entity/Q428,Billy Cobham
http://base.semlab.io/entity/Q429,Ezra Charles
http://base.semlab.io/entity/Q430,Luis Russell
http://base.semlab.io/entity/Q431,Nelson Boyd
http://base.semlab.io/entity/Q432,Shelly Manne
http://base.semlab.io/entity/Q433,Fats Ford
http://base.semlab.io/entity/Q434,Arvell Shaw
http://base.semlab.io/entity/Q435,Gil Noble
http://base.semlab.io/entity/Q436,Frank Strozier
http://base.semlab.io/entity/Q437,Don Braden
http://base.semlab.io/entity/Q438,Peter Erskine
http://base.semlab.io/entity/Q440,Milford Graves
http://base.semlab.io/entity/Q441,Jimmy Heath
http://base.semlab.io/entity/Q442,Babs Gonzales
http://base.semlab.io/entity/Q443,Lee Young
http://base.semlab.io/entity/Q444,Phil Edmond
http://base.semlab.io/entity/Q445,Omar Hakim
http://base.semlab.io/entity/Q446,George Wein
http://base.semlab.io/entity/Q447,Philly Joe Jones
http://base.semlab.io/entity/Q448,Sonny Stitt
http://base.semlab.io/entity/Q449,John Malachi
http://base.semlab.io/entity/Q450,Red Allen
http://base.semlab.io/entity/Q451,Tom Brechtlein
http://base.semlab.io/entity/Q452,Dwayne Burno
http://base.semlab.io/entity/Q453,Kansas Fields
http://base.semlab.io/entity/Q454,George Adams
http://base.semlab.io/entity/Q455,Dennis Chambers
http://base.semlab.io/entity/Q456,Lee Richardson
http://base.semlab.io/entity/Q457,Howard McGhee
http://base.semlab.io/entity/Q458,Charles Sullivan
http://base.semlab.io/entity/Q459,Charlie Holmes
http://base.semlab.io/entity/Q460,Fred Astaire
http://base.semlab.io/entity/Q461,Branford Marsalis
http://base.semlab.io/entity/Q462,Jo Jones
http://base.semlab.io/entity/Q463,Tommy Mace
http://base.semlab.io/entity/Q464,Gary Novak
http://base.semlab.io/entity/Q465,Albert Dailey
http://base.semlab.io/entity/Q466,Pops Foster
http://base.semlab.io/entity/Q467,Kevin Eubanks
http://base.semlab.io/entity/Q468,Lenny White
http://base.semlab.io/entity/Q469,Don Byas
http://base.semlab.io/entity/Q470,Bobby Donaldson
http://base.semlab.io/entity/Q471,Andrew Cyrille
http://base.semlab.io/entity/Q472,Stanley Cowell
http://base.semlab.io/entity/Q473,Joe Sherman
http://base.semlab.io/entity/Q474,Jimmy Jones
http://base.semlab.io/entity/Q475,Steve Gadd
http://base.semlab.io/entity/Q476,Dewey Redman
http://base.semlab.io/entity/Q477,Milt Buckner
http://base.semlab.io/entity/Q478,Gladys Riddle
http://base.semlab.io/entity/Q479,Ernie Royal
http://base.semlab.io/entity/Q480,Jabbo Smith
http://base.semlab.io/entity/Q481,Junior Mance
http://base.semlab.io/entity/Q482,George Schick
http://base.semlab.io/entity/Q483,Buddy Tate
http://base.semlab.io/entity/Q484,Joe Glaser
http://base.semlab.io/entity/Q485,Joshua Redman
http://base.semlab.io/entity/Q486,Stevie Wonder
http://base.semlab.io/entity/Q487,Al Grey
http://base.semlab.io/entity/Q488,Les Hite
http://base.semlab.io/entity/Q489,Don Goldberg
http://base.semlab.io/entity/Q490,Bull Ruther
http://base.semlab.io/entity/Q491,Lena Horne
http://base.semlab.io/entity/Q492,Donald Byrd
http://base.semlab.io/entity/Q493,Herbie Hancock
http://base.semlab.io/entity/Q494,Myra Hess
http://base.semlab.io/entity/Q495,Gil Evans
http://base.semlab.io/entity/Q496,Teo Macero
http://base.semlab.io/entity/Q497,Michael Greene
http://base.semlab.io/entity/Q498,Bud Harr
http://base.semlab.io/entity/Q499,Gayle Moran
http://base.semlab.io/entity/Q500,Pierre Salinger
http://base.semlab.io/entity/Q501,George Coleman
http://base.semlab.io/entity/Q502,Bill Russo
http://base.semlab.io/entity/Q503,Henry Cowell
http://base.semlab.io/entity/Q504,Sol Weiss
http://base.semlab.io/entity/Q505,Chet Huntley
http://base.semlab.io/entity/Q506,Georgia Frontiere
http://base.semlab.io/entity/Q507,Neil Tesser
http://base.semlab.io/entity/Q508,Red Norvo
http://base.semlab.io/entity/Q509,Paul Desmond
http://base.semlab.io/entity/Q510,Ken Curtis
http://base.semlab.io/entity/Q511,Jack Kennedy
http://base.semlab.io/entity/Q512,Aldus Huxley
http://base.semlab.io/entity/Q513,Ralph Gleason
http://base.semlab.io/entity/Q514,Ted Rosenthal
http://base.semlab.io/entity/Q515,Dean Carl Nosse
http://base.semlab.io/entity/Q516,Lew Soloff
http://base.semlab.io/entity/Q517,Russell Gloyd
http://base.semlab.io/entity/Q518,Joe Morello
http://base.semlab.io/entity/Q519,Darrell Cutler
http://base.semlab.io/entity/Q520,Nadia Boulanger
http://base.semlab.io/entity/Q521,Turk Murphy
http://base.semlab.io/entity/Q522,Ted Gioia
http://base.semlab.io/entity/Q523,Al Davis
